15kft,,11.25kft,,7.5kft,,3.75kft,,0kft,
X,Y,X,Y,X,Y,X,Y,X,Y
18.618697478991596,49.74280280027703,18.224359415897506,57.336935711052575,17.435683289709328,65.2162930746069,16.64700716352115,75.06009780961566,15.858331037332963,84.72701375632221
22.759247141479545,49.19715427154469,22.364909078385455,56.27270580363294,21.576232952197277,64.49747111959539,20.78755682600909,73.63484738157558,19.998880699820912,83.33556373369021
26.899796803967494,48.47044555527129,26.505458740873397,55.17419262787082,25.71678261468522,63.33699053391849,24.92810648849704,72.28283116525299,24.13943036230886,81.90467990474879
31.040346466455436,46.85365949658552,30.646008403361346,54.0869462539114,29.857332277173168,62.17087654734026,29.06865615098499,70.93644834983175,28.279980024796803,80.47379607580737
35.18089612894339,45.91288154606105,34.78655806584929,52.98843307814929,33.99788193966111,61.00476256076201,33.209205813472934,69.57316533170646,32.420529687284755,79.03164544506328
39.32144579143133,44.97773699643792,38.92710772833723,51.890590545351635,38.138431602149055,59.45144615223139,37.349755475960876,68.27184972349596,36.5610793497727,77.44114859058378
43.46199545391927,44.00018098574325,43.06765739082519,50.77571368125705,42.278981264637,58.44719855155177,41.49030513844882,66.59872965579675,40.70162901226064,75.66287170605948
47.602545116407214,42.96661287465806,47.20820705331313,49.54642512742802,46.41953092712495,57.0726487316238,45.630854800936774,65.06644461063114,44.842178674748595,73.87332801973248
51.74309477889517,41.789232086277124,51.34875671580107,48.352144136343064,50.560080589612895,55.70936571349852,49.771404463424716,63.505992560958816,48.98272833723654,71.42937092869934
55.88364444138311,40.532983685277415,55.489306378289015,47.157863145258105,54.70063025210084,54.33481589357055,53.91195412591266,61.99060771849724,53.12327799972448,70.41345414043838
60.024194103871054,39.849464375914295,59.62985604077697,45.9257578909784,58.84117991458879,52.6322143611543,58.052503788400614,60.537190285950444,57.26382766221242,69.13939346230296
64.16474376635901,39.052606405559885,63.77040570326491,44.84937593304301,62.981729577076734,51.74345147895224,62.193053450888556,59.061239249798284,61.40437732470038,67.33670517387283
68.30529342884695,38.36221971224087,67.91095536575286,43.71022179363549,67.12227923956468,50.50410328065653,66.3336031133765,57.64725562356091,65.54492698718832,65.6354181016669
72.4458430913349,36.854372896699665,72.05150502824081,42.60607521697204,71.26282890205263,49.264755082360814,70.47415277586445,56.21637179461949,69.68547664967626,63.94539783126366
76.58639275382285,35.90796154527385,76.19205469072875,41.501928640308584,75.40337856454057,48.014140082262415,74.6147024383524,54.920689587310335,73.82602631216422,62.54831440773031
80.72694241631079,34.96155019384804,80.3326043532167,40.40341546454648,79.54392822702852,46.41857316697171,78.75525210084034,53.42783834845414,77.96657597465216,60.95969535355126
84.86749207879873,34.01513884242222,84.47315401570465,39.32409161947372,83.68447788951647,45.60867789738847,82.8958017633283,52.08708893393423,82.1071256371401,59.46121071379372
89.00804174128669,33.06389886165239,88.61370367819259,38.4035581445693,87.82502755200441,44.43693050990888,87.03635142581624,50.751972920315666,86.24767529962806,57.951459272233485
93.14859140377463,32.26878456300551,92.75425334068053,37.490947198551574,91.96557721449236,43.270816523330645,91.17690108830418,49.39432330309173,89.89530238324839,56.610005682600914
97.28914106626257,31.502642040422728,96.89480300316849,36.57270285163246,96.10612687698031,42.104702536752406,94.62735914037746,48.44509525121524,,
101.42969072875053,30.71396591423455,101.03535266565643,35.67135870741737,100.14809202369473,40.551855578296895,,,,
105.57024039123846,29.95909019345443,105.17590232814439,34.735319967175,,,,,,
109.71079005372641,29.192947670871618,107.83768425402948,34.227330276372854,,,,,,
113.35841713734675,28.563397515768614,,,,,,,,
